Platform,Year_of_Release,Number_of_Games,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Number_Percent
2600,1980,9,10.59,0.67,0,0.12,11.38,100%
2600,1981,46,33.4,1.96,0,0.32,35.77,100%
2600,1982,36,26.92,1.65,0,0.31,28.86,100%
2600,1983,11,5.44,0.34,0,0.06,5.83,65%
2600,1984,1,0.26,0.01,0,0,0.27,7%
2600,1985,1,0.42,0.03,0,0,0.45,7%
2600,1986,2,0.63,0.04,0,0,0.66,10%
2600,1987,6,1.84,0.09,0,0.01,1.98,38%
2600,1988,2,0.69,0.04,0,0.01,0.75,13%
2600,1989,2,0.59,0.03,0,0.01,0.62,12%
NES,1983,6,2.32,0.46,8.1,0.08,10.96,35%
NES,1984,13,33.02,2.09,14.27,0.7,50.09,93%
NES,1985,11,33.31,4.68,14.54,0.91,53.44,79%
NES,1986,19,11.87,2.8,19.81,1.93,36.41,90%
NES,1987,10,6.62,1.32,11.63,0.19,19.76,63%
NES,1988,11,22.36,6.3,15.41,0.94,45.01,73%
NES,1989,5,4.75,0.81,2.2,0.09,7.85,29%
NES,1990,8,6.08,1.59,7.84,0.22,15.74,50%
NES,1991,7,2.83,0.52,2.6,0.16,6.11,17%
NES,1992,3,0.84,0.14,0.97,0.03,1.98,7%
NES,1993,4,1.94,0.44,1.17,0.06,3.61,7%
NES,1994,1,0,0,0.11,0,0.11,1%
PC,1985,1,0,0.03,0,0.01,0.03,7%
PC,1988,1,0,0.02,0,0.01,0.03,7%
PC,1992,5,1.26,1.66,0,0.11,3.03,12%
PC,1994,6,5.56,6.85,0,0.46,12.86,5%
PC,1995,2,1.72,2.27,0,0.23,4.23,1%
PC,1996,4,5.56,4.68,0,0.34,10.59,2%
PC,1997,6,8.76,2.19,0.09,0.23,11.26,2%
PC,1998,8,3.05,0.2,0,0.01,3.26,2%
PC,1999,7,3.5,1.13,0,0.11,4.73,2%
PC,2000,7,3.03,1.45,0,0.18,4.68,2%
PC,2001,15,4.08,1.24,0,0.15,5.51,3%
PC,2002,19,5.03,3.18,0,0.36,8.59,2%
PC,2003,33,3.41,4.92,0,0.51,8.91,4%
PC,2004,30,2.54,7.54,0.08,0.23,10.41,4%
PC,2005,37,1.39,2.69,0,0.29,4.41,4%
PC,2006,52,0.61,1.94,0,0.3,2.91,5%
PC,2007,62,2.77,6.21,0,0.3,9.33,5%
